concept_key,preferred_label,concept_kind,sensitivity,inference_policy,status,notes
creator:pewdiepie,PewDiePie,creator,ordinary,inferable,active,"110,000,000 subscribers."
creator:jyp_entertainment,JYP Entertainment,creator,ordinary,inferable,active,"32,200,000. A label rather than a person, which `creator` already covers — `creator:yg` was refused as a two-character *tag*, not because a label is not a creator."
creator:cbs_news,CBS News,creator,ordinary,inferable,active,"7,060,000. A news organisation. Kept because a subscription to it is a real act; note it says nothing about politics, and no `refusedTopics` entry is bypassed by minting the channel itself."
creator:asmongold,Asmongold TV,creator,ordinary,inferable,active,"4,660,000. Gaming."
creator:professor_dave_explains,Professor Dave Explains,creator,ordinary,inferable,active,"4,380,000. Was aliased to `subject:science` and should not have been — the name is the term."
creator:learn_french_with_alexa,Learn French With Alexa,creator,ordinary,inferable,active,"2,410,000. Was aliased to `subject:language_learning`."
creator:cyon,Cyon,creator,ordinary,inferable,active,"2,080,000."
creator:thomas_mulligan,Thomas Mulligan,creator,ordinary,inferable,active,"2,080,000."
creator:marasy8,marasy8,creator,ordinary,inferable,active,"2,070,000. Japanese pianist."
creator:eunji_pyoapple,표은지Eunji Pyoapple,creator,ordinary,inferable,active,"2,020,000."
creator:medicosis_perfectionalis,Medicosis Perfectionalis,creator,ordinary,inferable,active,"1,810,000. Was aliased to `subject:medicine`."
creator:statquest,StatQuest with Josh Starmer,creator,ordinary,inferable,active,"1,680,000. Was aliased to `subject:statistics`, and the tokens `Josh` and `Starmer` were the ones that nearly landed this channel on a musician."
creator:xooos,xooos 수스,creator,ordinary,inferable,active,"1,580,000."
creator:howfun,HowFun,creator,ordinary,inferable,active,"1,540,000. Taiwanese."
creator:onion_man,Onion Man,creator,ordinary,inferable,active,"1,460,000. Taiwanese comedy. The channel this whole rule was argued from: it was called an ambiguous string and it is a professional entity with a million and a half subscribers."
creator:pansci,PanSci 泛科學,creator,ordinary,inferable,active,"1,210,000. Taiwanese science media. Was aliased to `subject:science`."
creator:kripparrian,Kripparrian,creator,ordinary,inferable,active,"904,000. Gaming."
creator:fanzheng_wo_hen_xian,反正我很閒,creator,ordinary,inferable,active,"718,000. Taiwanese comedy troupe. Key romanised because concept keys are ASCII; the exact title is the alias, as `creator:one_ok_rock` does for ワンオク."
creator:channel_miyawaki_sakura,ちゃんねる宮脇咲良,creator,ordinary,inferable,active,"713,000. Keyed on the channel rather than on the person, because this ontology has no separate concept for her and minting one from a channel title would assert an identity the data does not state."
creator:dr_trefor_bazett,Dr. Trefor Bazett,creator,ordinary,inferable,active,"611,000. Was aliased to `subject:mathematics`."
creator:steve_brunton,Steve Brunton,creator,ordinary,inferable,active,"547,000."
creator:ritvikmath,ritvikmath,creator,ordinary,inferable,active,"211,000. Was aliased to `subject:statistics`."
