concept_key,preferred_label,concept_kind,sensitivity,inference_policy,status,notes
creator:one_ok_rock,ONE OK ROCK,creator,ordinary,inferable,active,"Japanese rock band. Aliased under the band name only; the four member names appear in the same tag lists and are deliberately not minted as separate creators."
creator:gen_hoshino,Gen Hoshino,creator,ordinary,inferable,active,"Japanese musician and actor. Both name orders aliased because Japanese sources give family name first."
creator:taichi_mukai,Taichi Mukai,creator,ordinary,inferable,active,"Japanese R&B singer. Uploader tags use three spellings of the same name."
creator:jolin_tsai,Jolin Tsai,creator,ordinary,inferable,active,"Taiwanese Mandopop singer."
creator:eve_ai,Eve Ai,creator,ordinary,inferable,active,"Taiwanese singer. Keyed on the full name; the bare given name is far too generic to alias."
creator:xiao_yu,Xiao Yu,creator,ordinary,inferable,active,"Taiwanese singer-songwriter, credited both as 宋念宇 and 小宇."
creator:nariaki_obukuro,Nariaki Obukuro,creator,ordinary,inferable,active,"Japanese singer-songwriter."
creator:akko_gorilla,Akko Gorilla,creator,ordinary,inferable,active,"Japanese rapper."
creator:sufjan_stevens,Sufjan Stevens,creator,ordinary,inferable,active,"American singer-songwriter; reached here through covers of the Call Me by Your Name songs."
creator:corsak,CORSAK,creator,ordinary,inferable,active,"Chinese electronic producer."
work:ranking_of_kings,Ranking of Kings,work,ordinary,inferable,active,"Anime series, 國王排名."
work:run_with_the_wind,Run with the Wind,work,ordinary,inferable,active,"Anime series, 風が強く吹いている."
work:call_me_by_your_name,Call Me by Your Name,work,ordinary,inferable,active,"Film. Its soundtrack is the route by which it appears in a music footprint."
activity:flute,Playing the flute,activity,ordinary,review_required,active,"**A performance term, not a listening one.** ""flute cover"" and ""alto flute cover"" are recordings somebody made rather than music they played back, which is the violin-self versus violin-listen distinction this ontology has not previously been able to draw. `review_required` because the inference from a tag to an instrument somebody plays is exactly the kind that should be looked at."
activity:quantitative_research,Quantitative research,activity,ordinary,review_required,active,"Statistical methods study. ANCOVA, repeated-measures ANOVA, effect size and Mplus form one coherent interest that had nothing to attach to."
