hub,local_hub,
music,genre,
,performer,
,composer,
,live performance,
,celebrity gossip,
,fan art,
movie/tv,genre,
,actor,
,director,
,celebrity gossip,
sport,work out,
,professional atheletes,
gaming,console,genre
,pc,genre
food,cooking,
,baking,
,restaurants,
,wine tasting,
pets,type of pets,
,pet store,
,pet personality,
,pet illness,
childhood,hometown,
,family structure,"parents, siblings"
book,genre,
,specific series,
,author,
podcast,genre,
,host,
,show ,
education,college life,
,masters life,
,PhD life,
work,different career,
plans,short term plan,
,long term plan,
,career plan,
,relatioship plan,
travel,countries/cities the have been to,
,countries/cities they want to visit,
language,native language,
,language they want to learn,
petpeeves,,
